AccounWeeks	ContractRenewal	DataPlan	DataUsage	CustServCalls	DayMins	DayCalls	MonthlyCharge	OverageFee	RoamMins	Churn
103	1	0	0	0	160.2	104	40	6.95	9.7	0
101	1	1	2.57	2	219.7	137	79.7	9.34	9.5	0
119	1	0	0.23	2	154.5	129	45.3	9.68	13.4	0
154	0	0	0.36	0	145.9	69	46.6	10.41	14.4	1
96	1	0	0	3	150	122	45	10.93	9.8	0
129	1	1	3.08	1	211	99	80.8	7.76	11.4	0
64	1	0	0	1	224.8	111	55	9.5	9.2	0
133	0	1	4.16	2	221.1	137	102.6	13.25	15.4	1
67	1	0	0	2	109.1	134	31	7.12	10.9	0
72	1	0	0.2	2	141.3	133	38	6.75	11.2	0
97	1	1	2.24	3	121.1	105	65.4	13.01	8.3	0
90	1	0	0.22	2	222	93	56.2	9.35	12.4	0
13	1	1	3.05	2	176.6	65	75.5	8.64	11.3	0
73	1	0	0	1	217.8	91	56	11.03	10.3	1
182	1	0	0.36	2	104.9	111	38.6	9.93	8	0
113	1	0	0	3	92.6	85	31	8.88	14.4	0
28	1	0	0	3	236.8	102	55	8.36	9.7	0
50	1	0	0	5	131.1	129	36	8.03	5.6	1
86	1	0	0.34	1	166.2	112	53.4	12.77	5.4	0
101	1	0	0	0	124.8	66	44	12.86	13.4	0
104	1	0	0	1	156.2	93	43	9.65	13.1	0
40	1	1	2.03	1	224.7	69	70.3	6.73	7.5	1
168	1	0	0	2	163.4	134	49	12.01	11.6	1
21	1	0	0	0	146	78	35	5.49	6.8	0
170	1	0	0	2	184.1	106	49	10.25	9.8	0
212	1	0	0.23	2	226	127	67.3	15.23	12.6	1
169	1	0	0	0	100.8	112	37	11.5	9.5	0
232	1	0	0.14	1	165.6	104	46.4	9.8	11.8	0
63	1	0	0.27	0	164.5	75	43.7	7.4	11.2	0
124	1	0	0	4	143.3	120	44	11.54	7.8	1
72	1	0	0.28	0	196.5	88	49.8	7.93	6.8	0
159	0	0	0.44	1	257.1	53	75.4	15.61	8.8	1
85	1	0	0	3	255.3	114	60	9.73	3.7	0
72	1	0	0.27	0	272.4	88	58.7	5.4	12.7	0
86	1	1	3.48	1	225.4	79	89.8	9.36	12.9	0
120	1	0	0	1	149.2	98	42	9.68	11.1	0
